89 1 90.21 20
156 2 90.2 20
229 3 90.19 20
293 4 90.16 20
362 5 90.13 20
413 6 90.1 20
457 7 90.06 20
515 8 90.01 20
540 9 89.97 20
580 10 89.92 20
640 11 89.86 20
635 12 89.81 20
652 13 89.75 20
680 14 89.69 20
695 15 89.63 20
683 16 89.56 20
716 17 89.5 20
720 18 89.43 20
735 19 89.37 20
736 20 89.3 20
737 21 89.23 20
719 22 89.17 20
644 23 89.09 20
618 24 89.02 20
699 25 88.95 20
675 26 88.87 20
661 27 88.8 20
687 28 88.73 20
664 29 88.66 20
633 30 88.59 20
614 31 88.51 20
737 32 88.45 20
744 33 88.39 20
735 34 88.32 20
743 35 88.26 20
743 36 88.19 20
738 37 88.13 20
723 38 88.07 20
721 39 88 20
722 40 87.94 20
747 41 87.87 20
742 42 87.8 20
720 43 87.74 20
711 44 87.68 20
722 45 87.62 20
731 46 87.55 20
737 47 87.49 20
730 48 87.43 20
716 49 87.36 20
714 50 87.3 20
134 1 89.24 30
236 2 89.23 30
345 3 89.22 30
422 4 89.21 30
541 5 89.18 30
626 6 89.14 30
696 7 89.11 30
765 8 89.06 30
836 9 89.01 30
887 10 88.96 30
959 11 88.9 30
993 12 88.84 30
1002 13 88.77 30
1043 14 88.7 30
1107 15 88.63 30
1091 16 88.55 30
1103 17 88.48 30
1118 18 88.4 30
1105 19 88.32 30
1130 20 88.24 30
1103 21 88.17 30
1109 22 88.1 30
1124 23 88.03 30
1105 24 87.97 30
1140 25 87.9 30
1135 26 87.83 30
1141 27 87.77 30
1137 28 87.7 30
1117 29 87.63 30
1121 30 87.56 30
1099 31 87.49 30
1136 32 87.41 30
1121 33 87.33 30
1110 34 87.25 30
1101 35 87.19 30
1139 36 87.12 30
1136 37 87.06 30
1131 38 86.99 30
1131 39 86.93 30
1115 40 86.86 30
1125 41 86.8 30
1132 42 86.73 30
1126 43 86.67 30
1135 44 86.61 30
1136 45 86.54 30
1132 46 86.48 30
1131 47 86.42 30
1092 48 86.35 30
1131 49 86.29 30
1116 50 86.22 30
22 1 90.7 5
38 2 90.69 5
54 3 90.69 5
68 4 90.69 5
79 5 90.69 5
88 6 90.69 5
96 7 90.68 5
100 8 90.68 5
114 9 90.67 5
123 10 90.67 5
136 11 90.66 5
127 12 90.66 5
129 13 90.66 5
146 14 90.65 5
174 15 90.65 5
145 16 90.64 5
157 17 90.64 5
165 18 90.63 5
168 19 90.63 5
159 20 90.62 5
176 21 90.61 5
159 22 90.61 5
162 23 90.6 5
177 24 90.6 5
157 25 90.59 5
163 26 90.59 5
180 27 90.58 5
165 28 90.58 5
168 29 90.57 5
176 30 90.57 5
157 31 90.56 5
163 32 90.56 5
176 33 90.55 5
164 34 90.54 5
162 35 90.54 5
175 36 90.53 5
158 37 90.53 5
156 38 90.52 5
172 39 90.52 5
160 40 90.51 5
166 41 90.51 5
164 42 90.5 5
156 43 90.5 5
163 44 90.49 5
168 45 90.49 5
154 46 90.48 5
150 47 90.47 5
166 48 90.47 5
156 49 90.46 5
149 50 90.46 5
45 1 90.45 10
78 2 90.45 10
103 3 90.44 10
133 4 90.44 10
172 5 90.44 10
186 6 90.43 10
194 7 90.43 10
216 8 90.42 10
212 9 90.42 10
257 10 90.41 10
252 11 90.4 10
279 12 90.39 10
280 13 90.39 10
319 14 90.38 10
318 15 90.37 10
326 16 90.36 10
300 17 90.35 10
337 18 90.34 10
328 19 90.33 10
352 20 90.32 10
324 21 90.31 10
360 22 90.3 10
343 23 90.29 10
365 24 90.28 10
345 25 90.27 10
373 26 90.26 10
346 27 90.25 10
364 28 90.23 10
357 29 90.22 10
374 30 90.21 10
347 31 90.2 10
372 32 90.19 10
340 33 90.18 10
377 34 90.17 10
336 35 90.16 10
370 36 90.15 10
336 37 90.14 10
356 38 90.12 10
351 39 90.11 10
374 40 90.1 10
343 41 90.09 10
368 42 90.07 10
341 43 90.06 10
368 44 90.05 10
338 45 90.04 10
371 46 90.03 10
336 47 90.02 10
374 48 90.01 10
324 49 90 10
361 50 89.98 10
