Co N Idle 15
67 1 87.81 15
118 2 87.8 15
166 3 87.78 15
212 4 87.74 15
264 5 87.68 15
311 6 87.61 15
331 7 87.53 15
393 8 87.43 15
408 9 87.33 15
429 10 87.21 15
466 11 87.09 15
490 12 86.97 15
512 13 86.82 15
536 14 86.7 15
537 15 86.56 15
560 16 86.42 15
561 17 86.27 15
561 18 86.12 15
572 19 85.96 15
544 20 85.8 15
404 21 85.65 15
589 22 85.48 15
598 23 85.31 15
595 24 85.15 15
538 25 84.97 15
501 26 84.79 15
412 27 84.61 15
405 28 84.42 15
424 29 84.24 15
478 30 84.06 15
372 31 83.89 15
448 32 83.71 15
588 33 83.57 15
571 34 83.43 15
567 35 83.29 15
563 36 83.15 15
571 37 83.02 15
560 38 82.89 15
531 39 82.75 15
566 40 82.63 15
565 41 82.5 15
565 42 82.38 15
557 43 82.26 15
546 44 82.14 15
562 45 82.01 15
564 46 81.89 15
566 47 81.77 15
562 48 81.65 15
565 49 81.54 15
562 50 81.42 15
