Start: 2018-11-29 16:33:23, VM has 1. Each N cycle time T= 5 seconds.
  CO  N   idle
 23   1  88.61
 38   2  88.61
 54   3  88.61
 75   4  88.61
 82   5  88.61
 96   6  88.60
116   7  88.60
127   8  88.60
137   9  88.60
135  10  88.59
144  11  88.59
162  12  88.59
151  13  88.58
160  14  88.58
181  15  88.57
152  16  88.57
128  17  88.57
150  18  88.56
139  19  88.56
168  20  88.55
181  21  88.55
168  22  88.54
165  23  88.54
184  24  88.54
169  25  88.53
167  26  88.53
185  27  88.52
173  28  88.52
168  29  88.51
189  30  88.51
162  31  88.50
166  32  88.50
181  33  88.50
167  34  88.49
158  35  88.49
173  36  88.48
157  37  88.48
165  38  88.47
180  39  88.47
160  40  88.46
155  41  88.46
169  42  88.45
160  43  88.45
166  44  88.44
179  45  88.44
152  46  88.43
156  47  88.43
173  48  88.42
157  49  88.42
Finished: 2018-11-29 16:37:32
